logit
logsumexp
log_softmax
softmax
log_probs
logsumexp
logprob
math
log_p
logistic
log_stats
log1p
logprob
torch.log
np.log
log
logreg
logical
logx
log_sum_exp
loglog
lognormal
_log_func
plt.loglog
