repo_name,num_stars,num_forks,num_contributor,num_commit
faqih-ar/Game-Retail,0,0,1,5
fatihgnc/web-scraping,0,0,1,2
Airenn/SVM_Spam,0,0,1,14
StrayCamel247/Django_web,58,13,2,129
jimmygoddard/cs677,0,1,1,46
chanship72/finance,0,1,1,14
laisj/Toolkit,0,0,1,73
boourbon/WebTrafficTimePrediction,0,0,1,5
dyeralec/My_Wonderful_Scripts,0,0,1,16
discobot/LambdaMart,67,41,1,15
yassienshaalan/L2RP,1,1,1,24
belya/p300-eda,3,0,1,12
lizzie8023/AutomaticWB,0,0,1,60
PraveenAdepu/kaggle_competitions,0,0,1,4
rulo96z/Crypto_Signal_Provider,2,3,4,34
Teekuningas/signals,0,0,1,187
marzooq-unbxd/ndcg_comparison,0,0,1,4
vthuong/MixGHD,0,0,1,3
FinancialEngineerLab/finefinance,10,4,1,80
AngusGLChen/LinkingEdX,0,1,1,3
Ningshiqi/semi-supervised-graph-based-classification,9,3,1,23
evevkovacs/ML-SN-Classifier,0,1,1,73
sameraamar/Twitter-New-Event-Detection-version1,4,0,1,26
eqasim-org/california,5,1,1,38
georgedimitriadis/themeaningofbrain,2,1,3,143
Babkes/Babkes,0,0,1,24
yodsawadee/iqa-kmitl,0,0,1,22
yodsawadee/iqa-kmitl-v2,0,0,1,8
sethah/kaggle_web_traffic,0,0,1,1
jerrizhou/Marketing-Analytics-IMDB,0,0,2,37
genepattern/DiffEx,0,0,1,15
edjuaro/DiffEX_dev,0,0,1,3
genepattern/docker-python37,0,0,1,1
ckmah/ccal,0,1,4,997
genepattern/docker-python36,0,0,3,89
davidhungpill/ktwizai,0,1,2,42
nischalshrestha/automatic_wat_discovery,2,1,1,60
zackw/tbbscraper,23,16,4,360
gistable/gistable,70,18,1,1
malefs/security-smell-detector-python-gist,1,6,1,21
dockerizeme/dockerizeme,21,16,3,13
rsrjohnson/CS6375,0,0,1,10
bethany0-0/Y3,1,0,1,50
chrlsrey/Coding-Assignments,0,0,1,3
pietersavenberg/thesis,1,1,1,65
MagedMohamedTurk/A-B-testing,0,0,1,1
SebastianMacaluso/Deep-learning_jet-images,2,1,1,13
Dazhuzhu-github/running-robot,0,0,2,38
mohsseha/DSI-BOS-students,0,0,11,640
mukatee/github-issue-predictor,0,0,1,5
mukatee/ml-experiments,0,4,1,38
AngelikiTsintzira/Continuous-implicit-authentication-of-smartphone-users-using-navigation-data,2,5,1,11
AI4Bharat/OpenHands,10,0,3,111
gmum/mlls2015,15,6,2,231
farisknight13/DataMining,0,0,1,15
masterStormtrooper/VITAE-mm-pi,0,1,5,513
jaydu1/VITAE,14,6,3,459
route2sabya/ecsws_predictorApp,0,0,0,1
vignesh-11/restaura1,0,0,1,1
Msaleh87/Machine-learning-Coursera-Andrew-Ng-in-Python,0,0,1,13
clams97/ES_Dashboard,0,0,1,74
cyoukaikai/ahc_ete,0,0,1,9
snykiotcubedev/scikit-learn-0.24.2,0,0,2,4
sethdzimmerman/OldBoysClubs_Replication,0,0,0,1
SpeciesDecipit/Thesis-PML-DL,0,0,3,36
ShvetankPrakash/CodeErrorDetection,0,0,1,75
ask-waldo-archive/ask-waldo-keyphrase-extraction-serverless,0,0,1,18
odaga/FlaskAPI,0,0,1,4
gnaynad/quasi-scikit-learn,0,0,0,4
gopalalok/video-recommendation-APP,0,0,1,5
ogrisel/scikit-learn-github-actions,2,3,1853,26319
Narasimhareddy26/scikit-learn,0,0,1998,26908
ryfeus/lambda-packs,1055,228,7,74
GaryeongKim/Scipy,0,0,1954,26759
chenz1hao/two-layer-model,4,2,1,12
rajpatel5/scikit-contributions,0,0,1,4
DarlingMoo/scikit-learning-,0,0,1883,26474
WaywardPhoton/QSciTech-QuantumBC-Workshop-Team4-Solution,0,0,2,27
GoloMarcos/Multimodal-OCL-IST-2021,0,0,1,4
tamyksu/Fnirs-Recording,0,0,1,2
jadna/GRS_POI,0,0,1,39
GoloMarcos/TripleVAE-Events,0,0,1,41
WeilerWebServices/scikit-learn,0,0,1,1
ChoeMinji/scikit-learn-0.24.2,0,0,1,1
GloryKim/yglearn,0,0,1,6
CheKaiWei/Machine-Learning-SUStech-CS405,1,0,1,2
Giannos-G/scikit-learn_modified,0,0,1,23
quendee/auto-ml,0,0,1,16
Aschente0/scikit-learn-fixes,0,0,1,9
radovicstef/cineast,0,0,1,34
MutsukiMoon/MyScikitLearn,0,0,331,26505
ashok-jaga/scikit,0,0,1982,26855
LisettGarcia/LisettGarcia,0,0,2085,27273
kcherianthomas/Blend-Cocktail,0,0,1,24
vedkharche538/scikit-learn,0,0,1,1
maldil/R-CPATMiner,4,0,3,156
c-w-m/scikit-learn,0,1,2135,27511
GoloMarcos/MVAE-RelevantReviews,0,0,1,12
Vitervo/Scikit-learn,0,0,1919,26583
dongtv2/VTC_PYTHON_04,0,0,1,39
Nihal2000/sklearn-dev-0.0,0,1,2,28
JavieW/sklearn,0,0,0,1
imjacobclark/pickles,0,0,1,1
schogini/ml-sree,0,0,1,6
RMosen/Audiobook-Engine,0,0,1,40
Sharmilendran/lubrigo_try,0,0,1,2
jacobkj314/spacy-dependencies,0,0,0,1
jaeyow/f1-predictor,0,0,1,88
everbolt/calhacks-uniswap,0,1,4,120
nArrow4/AutoAim,2,0,1,15
jacobkj314/python-packages,0,0,1,3
aws-samples/aws-lambda-layer-create-script,10,8,1,5
SamTDickinson/scikit-learn-lambda,0,0,1,5
rohankumardubey/scikit-learn,0,0,2146,27575
noname30081/NCKU_BioIR,0,0,1,21
huantd/matsml,0,0,1,20
sandialabs/pvOps,6,4,5,276
mojokageni/scikit-learn,0,0,2083,27262
scikit-learn/scikit-learn,49084,22660,2247,27947
ophirgal/ssl-descent,0,0,1,2
Hunter833838/cscd01-project,0,0,7,44
hd2zm/Data-Science-Projects,3,0,1,83
pnb/fairfs,1,0,4,41
leexa90/Projects,1,2,1,158
Anygma1/E-commerce-Brand-Analysis,0,0,1,2
preesr/machine-learning,0,0,1,14
ParCoreLab/SpTRSV_Framework,5,1,1,1
jkosterhale/cytometric,0,0,1,1
Brandon233/PINN,0,0,1,1
TKGgunter/OLD_WW_analysis,0,0,1,28
ShahradSarvarzadeh/predict-House-prices-from-Scout24,0,0,1,3
sameerkhanna786/CVUEBA,0,1,1,3
anksng/sequence_tagging_experimental_framework,2,0,1,30
basic1aw/CMB_Fintech_Datascience,1,1,1,19
theovasi/browsewiki,0,0,1,117
asharmehmood/context_words_and_sentences_extraction,0,0,1,3
Vraj531/AMC-SSDA,2,1,1,11
michaelzhouy/Competition,4,0,1,1153
nchos88/ML_LIB,2,0,1,57
Trebolium/VoicePerception,1,0,1,10
Prayushi9/AMC-SSDA,1,2,1,3
WataruMiyabayashi/django_csv_upload_sample,0,0,1,28
timothyyu/ml_monorepo,41,33,1,83
saikrishna197/densenetmodel,0,0,1,9
johannespetrat/OptML,79,4,2,90
thomaspingel/neilpy,7,4,2,148
HridoyRafid26/Sign-Language-Generation-with-Neural-Network,0,0,1,3
xiwenchao/UF_code-dealing-with-microsctucture,1,0,1,6
maliha93/Fairness-Analysis-Code,0,0,1,9
yangxiamike/Interior-Point-Method,0,0,1,3
jehezkiel1699/classification,0,0,1,38
zwzhzhzhzhzh/GitSync,0,0,1,11
TomoyukiNamura/lckme_test,0,0,1,9
sky660099/mopeye,0,0,976,22394
Feretj/scikit-learn-hse-project,0,0,310,21865
nirvanacafe/scikit-learn,0,0,945,22275
NickVeld/scikit-learn-proj,1,0,1,33
Keqinli33/mobile_team,0,0,1,7
jhagle4/SSU_Preserve,0,0,1,85
OlinAlvarez/openCV,0,0,1,14
weilu/moneycat,1,2,3,188
PizzaPatz/Blood_Vessels_Segmentation,0,3,1,6
ananddtyagi/idioms,0,0,1,61
HalukaMB/masterthesis_final,0,0,1,6
shkupfer/sklearn_modified_tree,1,0,0,2
EnjoyLifeFund/Debian_py36_packages,0,0,1,1
rmcbee/knock_off,0,0,2,22
anu71195/new-svm,0,0,1,11
heqixi/work,0,0,1,1
espenmeidell/lambda-dependencies,0,0,2,8
pedrojpaez/pythonServer,0,0,1,16
Kutim/ML,0,0,1,13
digimatronics/sci-kit,1,0,757,21548
fabilies/Project78,0,0,1,1
Najah-lshanableh/Python,0,1,881,21943
tdurieux/BugSwarm-dissection,1,0,1,27
ensemblr/hacking-sklearn,0,0,1,5
SnehaMishra28/BigData_Programming_Summer2018,0,0,1,36
svayamm/c4g-rpt,1,0,0,11
lybyx/Test1,0,0,1,10
souravbose1991/scikit-learn_implementations,0,0,749,21555
VinodhThiagarajan1309/machine-learning-notebook,0,1,1,3
binarybana/samcnet,14,3,1,254
StefanDeWitHR/Project78,0,0,4,21
enzlaur/ALGOCOMP2,0,0,1,23
rojimaharjan/USSupremeCourt,0,0,1,3
f-tonini/SAVI-tool,1,1,2,36
ryujiam/syuron2,0,0,0,26
johnnykwwang/GPGPU_Final_Python_CUDA,2,0,0,5
thakur-nishant/Google-Cloud-Services,0,0,1,3
hannounfouad/FYP-Python-Multiple,0,0,1,8
sakib/scikit-learn,1,0,935,22247
thulasiramkarnam/Bconecode,0,0,1,5
limaomei1986/scikit-learn,0,0,1049,22680
LegalEd/django-blog,0,0,1,7
hannounfouad/FYP-Python,0,0,1,8
souenxx/reccomend,0,0,1,2
LiuFang816/SALSTM_py_data,7,4,1,1
kellyhennigan/cueexp_scripts,0,1,1,571
mikezsx/sklearn,0,0,836,21778
KueskiEngineering/scikit-learn,0,0,925,22203
dhruv5995/Wine-Quality-Prediction,0,0,1,7
leelicent/machine-learning-,0,0,784,21661
jocan3/TextKNNPy,1,0,1,10
alex-parisi/Heteronymous-Ambiguity-Resolution,2,1,1,1
khuongnguyenBlue/sentiment,0,0,1,1
jfpferreira/Fusao_e_Recuperacao_de_Imagem_Satelite_para_NDVI,1,1,1,4
KakuyaShiraishi/sci_learn,0,0,1,2
cndn/intelligent-code-completion,11,12,3,49
TQRG/BugSwarm,0,1,1,3
bnymnsntrk/Digit-Recognition--Machine-Learning,1,0,2,12
hateno/scikit-learn,0,0,901,22161
sahamath/EGini,0,0,1110,22910
AbdulrahmanQu/MyGraduationProject,0,0,1,12
SCHENLIU/AdaptiveHAC,0,0,1,6
zhcbctcc/sklearn-CN,0,1,1,10
SCHENLIU/agglomerative-hierarchical-cluster,0,1,1,3
jay-kakkad/StockMarketPrediction_using_SVR,0,0,4,47
codehacpj/Introduction_to_ML,0,0,1,1
rjkilpatrick/raman-cnn,2,2,3,28
heeryoncho/sensors2018cnnhar,10,4,1,8
Allen8838/Data-Science-Projects,0,1,1,286
sayomakinwa/NLP-GenSim-Word-Sense-Embeddings,0,0,1,12
st-tech/zr-obp,362,47,11,960
Cuongvn08/StyleGAN-BigGAN-for-Motorbike-Generation,3,0,1,3
piratevector/DynamicClustering,0,0,3,85
haianh30198/fiho,0,0,1,9
davidabek1/adanet,6,3,1,16
salvador-dali/hackerrank_ai,0,0,0,3
minhhao97vn/PFML,0,0,1,7
pykale/pykale,321,39,13,1770
RHohensinner/ci2018,0,0,1,28
40104/Scikit-Learn,0,0,2169,27692
JStephens3141/parroty,0,0,1,4
shuimutech/smt-py-admin,0,0,1,11
JStephens3141/parroty_,0,0,1,20
williamaramosc/backend-recomendacion,0,0,2,13
chanmi168/Fall-Detection-DAT,0,0,1,29
jiefeixia/Pointer,3,0,5,89
mvlearn/mvlearn,127,19,16,600
minju0329/Search_expert,1,0,1,33
PQJHU/DEDA_2017,3,0,7,70
ahacalabria/python-tutorial,0,0,1,5
chantelmariediaz/Scraping-Yelp-with-Python,3,3,1,11
weqing/Python-Learner,0,0,1,7
Wengxinyu/MasterProject,0,0,1,10
lozhn/F19-ML,0,0,1,1
samysellami/Machine-learning,0,0,1,3
MarySherry/IML,0,0,1,9
leehj8896/bicycle-server,0,0,1,8
yylong711/shixun,1,0,1,5
2020ai/Tweet_Detective,1,0,2,41
blank54/kistec,0,0,2,49
ToddMorrill/knowledge-graphs,1,0,1,78
todd9527/cs229-project,0,0,1,66
Yutong-Dai/GroupFaRSA,0,0,1,294
appdevRA/tera,0,0,5,275
JarryEmorecha/tera,0,0,1,1
iarroyof/distributionalSemanticStabilityThesis,0,1,2,152
samuelsmal/drosophVAE,0,0,1,127
trinhansg/code,1,0,1,35
yang20202/my_working,0,0,1,6
vdplasthijs/fishualizer_zf-rbm_fork,0,0,1,4
ZLiu1205/Stat289,0,0,1,14
Gloriayu1/stat289,0,0,1,9
jubranakram/deep-learning-keras,0,0,1,3
MatteoPezzetta/taxi_demand_forecasting,0,0,1,2
wobiero/sex_violence_app,0,0,1,19
wobiero/SGBV-Time-Series,0,0,1,35
DgrinderHZ/SIDICBIR,0,0,1,53
konradmaklaud20/smiii,0,0,1,6
deliciafernandes/Response,1,0,8,102
SimiPixel/pool_based_active_learning,0,0,1,109
eternax/nonobjective-audio-classification,0,0,1,2
hickman-santini/tensor-iguana,1,0,1,2
Personman000/CSCD01-Backup,0,0,1920,26640
snswrld/titanic,0,0,1,2
GoloMarcos/TripleVAE-OCL-ENIAC2021,2,0,1,6
wassinkl/Vigilantes,1,0,9,219
adamcatto/skEDULEarn,0,0,1,3
wflyerthariani/NEA2,0,0,1,34
hahnicity/ardsdetection,1,1,1,344
PRM-Assist/PRM-Assit,0,1,1,3
lidiaxp/newPyLayer,0,3,1,35
pylayers/pylayers,135,87,8,4289
ArtashesH/PylayersWith3D,0,0,0,2
sahibdhanjal/DeepLocNet,23,13,1,33
rsmarinho/pylayers,1,0,1,4
jolyon129/introml_labs,0,0,1,19
goutham2709/Data-Science,0,0,1,10
bonbonben/MachineLearning,0,1,1,34
amkent5/MachineLearning,1,0,1,147
deja2011/learn_ml,0,0,1,55
takseki/python-machine-learning-book,2,0,15,556
nati-ghatan/ATS-ROCKET,0,0,3,29
mygesty/house,0,0,1,1
ermongroup/Crop_Yield_Prediction,17,12,1,32
Mainak0401/Crop_Yield_Prediction,0,0,1,32
brad-ross/crop-yield-prediction-project,25,25,3,141
aenidrob/crop_yield_prediction,0,0,1,2
JiaxuanYou/crop_yield_prediction,250,178,1,3
nemesek/PythonForFinanceBook,0,0,1,7
alinapetukhova/textcl,6,2,2,41
GroupingEffects/GRMF,0,0,1,205
jlenaghan/VariousUtils,0,0,0,2
sainath24/foursight,0,0,1,2
gustumaulanaf/SistemRekomendasiBuku,0,0,2,12
richardtjornhammar/impetuous,4,2,1,416
clulab/habitus-utils,0,1,3,245
jasoromir/movie-recommender-streamlit,2,0,1,63
wook1990/insomnia,0,0,2,52
amyxzhang/wikum,103,32,13,1403
OSeMOSYS/osemosys_global,3,3,6,213
appoll/gh-repo-classifier,6,2,4,319
sjha4/Identification-and-Analysis-of-popular-trends-around-the-world,2,0,1,3
licheng5625/coder,1,0,1,18
AyushSojitra/ChatBot,0,1,2,3
PB12203006/Largedata,0,0,2,104
houcheng/GoogleDictionary,5,1,1,7
maxr1876/Radix,0,0,1,48
assd2001/nltk_learn,0,0,1,3
qianna97/kkn-sanansari,0,0,1,1
MixedEmotions/but_sentiment,6,2,1,6
akerue/lstm_with_token,0,0,1,2
vishalrajpal/ArithmeticProblemSolver,0,0,1,42
miachenberkeley/DataProjectStartup,0,8,2,25
Tom-a-Hawk/serverless-chatbot,0,0,1,10
signal-ai/PyDataLondon29-EmbarrassinglyParallelDAWithAWSLambda,5,1,1,15
twcanty/tweetr,0,0,1,1
rafasashi/razzy-spinner,17,14,2,8
alexpnt/university-site,0,0,1,3
arka005/MovieAppIntegration,0,0,1,3
sungsulim/WinogradSchemaChallenge,0,2,0,3
ruchir594/messenger-bot-yelp-aws,0,0,1,63
187990/NLU-assignment1,0,0,1,20
licheng5625/data-science-task,0,0,1,18
dchaplinsky/german_registry_parser,3,1,2,40
hrishikeshmalkar/Sentiment-Analysis-Streamlit,2,2,1,13
GINK03/KindleReferencedIndexScore,5,1,1,416
Xidrovo/TF-idf,0,0,4,132
Sapphirine/ReverseRecommendation,0,1,1,79
yangxs9/TweetMap,0,0,1,23
